plugin,manifest_status,manifest_path,display_name,skills_count,apps_count,mcp_servers_count,description
documents,present,/Users/rust/.codex/plugins/cache/openai-primary-runtime/documents/26.619.11828/.codex-plugin/plugin.json,documents,9,0,0,"Create and edit document artifacts in Codex, including Word files and Google Docs."
pdf,present,/Users/rust/.codex/plugins/cache/openai-primary-runtime/pdf/26.619.11828/.codex-plugin/plugin.json,pdf,9,0,0,"Read, create, inspect, render, and verify PDF files in Codex."
spreadsheets,present,/Users/rust/.codex/plugins/cache/openai-primary-runtime/spreadsheets/26.619.11828/.codex-plugin/plugin.json,spreadsheets,9,0,0,"Create, edit, analyze, visualize, render, and export spreadsheets or Google Sheets-ready workbooks in Codex."
presentations,present,/Users/rust/.codex/plugins/cache/openai-primary-runtime/presentations/26.619.11828/.codex-plugin/plugin.json,presentations,9,0,0,"Create, edit, render, verify, and export presentation slide decks. Use when Codex needs to build or modify a deck, slidedeck, presentation deck, slide deck, sli"
build-web-data-visualization,present,/Users/rust/.codex/plugins/cache/openai-curated/build-web-data-visualization/43313cc9/.codex-plugin/plugin.json,build-web-data-visualization,9,0,0,"Design, critique, implement, test, and export web data visualizations in Codex, including charts, maps, dashboards, Gantt, UML, scrollytelling, reports, slides,"
hyperframes,present,/Users/rust/.codex/plugins/cache/openai-curated/hyperframes/43313cc9/.codex-plugin/plugin.json,hyperframes,9,0,0,"Write HTML, render video. Compositions, GSAP animations, captions, voiceovers, audio-reactive visuals, and website-to-video capture for HyperFrames."
superpowers,present,/Users/rust/.codex/plugins/cache/openai-curated/superpowers/43313cc9/.codex-plugin/plugin.json,superpowers,9,0,0,"An agentic skills framework & software development methodology that works: planning, TDD, debugging, and collaboration workflows."
record-and-replay,present,/Users/rust/.codex/plugins/cache/openai-bundled/record-and-replay/1.0.829/.codex-plugin/plugin.json,record-and-replay,9,0,11,Record what I'm doing on my Mac
browser,present,/Users/rust/.codex/plugins/cache/openai-bundled/browser/26.616.51431/.codex-plugin/plugin.json,browser,9,0,0,"Browser / browser-use plugin  Aliases: @browser, @browser-use, browser-use, Browser, in-app browser.  Use Browser, the Codex in-app browser, when the user asks "
readwise,present,/Users/rust/.codex/plugins/cache/openai-curated/readwise/43313cc9/.codex-plugin/plugin.json,readwise,0,11,0,The official app for Readwise and Reader.
scite,present,/Users/rust/.codex/plugins/cache/openai-curated/scite/43313cc9/.codex-plugin/plugin.json,scite,0,11,0,Scite delivers answers grounded in peer-reviewed research you can verify.
zotero,present,/Users/rust/.codex/plugins/cache/openai-curated/zotero/43313cc9/.codex-plugin/plugin.json,zotero,9,0,0,"Work with Zotero from Codex: search your library, export BibTeX, insert citations, and import references through the Zotero desktop app."
amplitude,present,/Users/rust/.codex/plugins/cache/openai-curated/amplitude/43313cc9/.codex-plugin/plugin.json,amplitude,0,11,0,Product analytics and funnels
deepnote,present,/Users/rust/.codex/plugins/cache/openai-curated/deepnote/43313cc9/.codex-plugin/plugin.json,deepnote,9,11,0,"Use Deepnote's collaborative data workspace to explore data, automate notebooks and SQL workflows, and turn analysis into shareable results."
mixpanel,present,/Users/rust/.codex/plugins/cache/openai-curated/mixpanel/43313cc9/.codex-plugin/plugin.json,mixpanel,0,11,0,Query and analyze Mixpanel
posthog,present,/Users/rust/.codex/plugins/cache/openai-curated/posthog/43313cc9/.codex-plugin/plugin.json,posthog,9,11,0,"Query product analytics and manage feature flags, experiments, and errors in PostHog."
similarweb,present,/Users/rust/.codex/plugins/cache/openai-curated/similarweb/43313cc9/.codex-plugin/plugin.json,similarweb,0,11,0,Digital market intelligence and web traffic analytics
airtable,present,/Users/rust/.codex/plugins/cache/openai-curated/airtable/43313cc9/.codex-plugin/plugin.json,airtable,9,11,0,"Airtable is the database and operations layer for your agents — whether running product, marketing, sales, ops, HR, or a custom business app. It combines struct"
box,present,/Users/rust/.codex/plugins/cache/openai-curated/box/43313cc9/.codex-plugin/plugin.json,box,9,11,0,Search and reference your documents
brand24,present,/Users/rust/.codex/plugins/cache/openai-curated/brand24/43313cc9/.codex-plugin/plugin.json,brand24,0,11,0,"The Brand24 app in Codex lets marketing and PR teams instantly explore brand mentions, sentiment, and med..."
chrome,present,/Users/rust/.codex/plugins/cache/openai-bundled/chrome/26.616.51431/.codex-plugin/plugin.json,chrome,9,0,0,"Chrome automation for tasks that depend on the user's existing Chrome state: tabs, logged-in sessions, cookies, extensions, and Codex Chrome Extension setup. Pr"
computer-use,present,/Users/rust/.codex/plugins/cache/openai-bundled/computer-use/1.0.829/.codex-plugin/plugin.json,computer-use,9,0,11,Control desktop apps on macOS from Codex through Computer Use.
dovetail,present,/Users/rust/.codex/plugins/cache/openai-curated/dovetail/43313cc9/.codex-plugin/plugin.json,dovetail,0,11,0,Connect Dovetail inside Codex to turn customer feedback into decisions without leaving your conversation.
google-drive,present,/Users/rust/.codex/plugins/cache/openai-curated/google-drive/43313cc9/.codex-plugin/plugin.json,google-drive,9,11,0,"Use Google Drive as the single entrypoint for Drive, Docs, Sheets, and Slides work."
jam,present,/Users/rust/.codex/plugins/cache/openai-curated/jam/43313cc9/.codex-plugin/plugin.json,jam,0,11,0,Screen record with context
linear,present,/Users/rust/.codex/plugins/cache/openai-curated/linear/43313cc9/.codex-plugin/plugin.json,linear,9,11,0,Find and reference issues and projects.
mem,present,/Users/rust/.codex/plugins/cache/openai-curated/mem/43313cc9/.codex-plugin/plugin.json,mem,0,11,0,Give Codex the full context of your second brain by connecting your Mem knowledge base.
notion,present,/Users/rust/.codex/plugins/cache/openai-curated/notion/43313cc9/.codex-plugin/plugin.json,notion,9,11,0,"Notion workflows for implementation planning, research synthesis, meeting preparation, and knowledge capture."
semrush,present,/Users/rust/.codex/plugins/cache/openai-curated/semrush/43313cc9/.codex-plugin/plugin.json,semrush,0,11,0,"The Semrush MCP provides structured, quantitative SEO and traffic data for domains, keywords, backlinks, an..."
cloudflare,present,/Users/rust/.codex/plugins/cache/openai-curated/cloudflare/43313cc9/.codex-plugin/plugin.json,cloudflare,9,0,11,"Cloudflare platform plugin with curated skills for Workers, Wrangler, and Agents SDK plus the official Cloudflare API MCP server."
datadog,present,/Users/rust/.codex/plugins/cache/openai-curated/datadog/43313cc9/.codex-plugin/plugin.json,datadog,0,11,0,Investigate Datadog telemetry and workflows from Codex
github,present,/Users/rust/.codex/plugins/cache/openai-curated/github/43313cc9/.codex-plugin/plugin.json,github,9,11,0,"Inspect repositories, triage pull requests and issues, debug CI, and publish changes through a hybrid GitHub connector and CLI workflow."
hugging-face,present,/Users/rust/.codex/plugins/cache/openai-curated/hugging-face/43313cc9/.codex-plugin/plugin.json,hugging-face,9,11,0,"Inspect models, datasets, Spaces, and research"
netlify,present,/Users/rust/.codex/plugins/cache/openai-curated/netlify/43313cc9/.codex-plugin/plugin.json,netlify,9,11,0,Deploy projects and manage preview or production releases on Netlify.
openai-developers,present,/Users/rust/.codex/plugins/cache/openai-curated/openai-developers/43313cc9/.codex-plugin/plugin.json,openai-developers,9,11,11,"Build with OpenAI APIs, Agents SDK, and ChatGPT Apps, and create and save OpenAI API keys from Codex."
sentry,present,/Users/rust/.codex/plugins/cache/openai-curated/sentry/43313cc9/.codex-plugin/plugin.json,sentry,9,0,0,Inspect recent issues and events in Sentry from Codex.
vercel,present,/Users/rust/.codex/plugins/cache/openai-curated/vercel/43313cc9/.codex-plugin/plugin.json,vercel,9,11,0,Build and deploy web apps and agents
canva,present,/Users/rust/.codex/plugins/cache/openai-curated/canva/43313cc9/.codex-plugin/plugin.json,canva,9,11,0,"Search, create, edit designs"
figma,present,/Users/rust/.codex/plugins/cache/openai-curated/figma/43313cc9/.codex-plugin/plugin.json,figma,9,11,0,"Figma workflows for design implementation, Code Connect templates, and design system rule generation."
codex-security,present,/Users/rust/.codex/plugins/cache/openai-curated/codex-security/43313cc9/.codex-plugin/plugin.json,codex-security,9,0,0,"Codex Security workflows for security scans, analysis, and investigation."
